task_id,subtask_id,fragment,locator,allowlist,blocklist,depends_on
P0001,,sources/piece-01/score.mei,score-setup,,,
P0001,S0001,sources/piece-01/score.mei,score-setup,,,
P0002,,sources/piece-01/score.mei,measure-zones,,,P0001
P0002,S0001,sources/piece-01/score.mei,measure-zones,,,
T0001,,sources/piece-01/score.mei,surface-2,,,P0002
T0001,S0001,sources/piece-01/score.mei,surface-2,,,
T0002,,sources/piece-01/score.mei,surface-3,,,P0002
T0002,S0001,sources/piece-01/score.mei,surface-3,,,
T0003,,sources/piece-01/score.mei,surface-4,,,P0002
T0003,S0001,sources/piece-01/score.mei,surface-4,,,
T0004,,sources/piece-01/score.mei,surface-5,,,P0002
T0004,S0001,sources/piece-01/score.mei,surface-5,,,
T0005,,sources/piece-01/score.mei,surface-6,,,P0002
T0005,S0001,sources/piece-01/score.mei,surface-6,,,
T0006,,sources/piece-01/score.mei,surface-7,,,P0002
T0006,S0001,sources/piece-01/score.mei,surface-7,,,
T0007,,sources/piece-01/score.mei,surface-8,,,P0002
T0007,S0001,sources/piece-01/score.mei,surface-8,,,
T0008,,sources/piece-01/score.mei,surface-9,,,P0002
T0008,S0001,sources/piece-01/score.mei,surface-9,,,
